id,app_id,name,price,description,city,year_of_building,floor,square,renovation
21,665371280,"3-комнатная квартира, 103 м², 13/13 этаж, Чингиза Айтматова — Сыганак",40 000 000〒,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор.🔥🔥🔥Срочно🔥🔥🔥  шикарная квартира, полностью с мебелью, с хорошей квадратурой, документы на руках и в полном порядке, квартира была получена 2022 году, сделан качественный ремонт. (видео обзор по запросу) имеется кладовая на этаже.  Самый классный район, где в шаговой доступности несколько школ и детских садов.  Парковочных мест достаточно.  Вид с окна и на двор, и в сторону улицы.  Зимой тепло, летом прохладно!  Соседи хорошие, которые живут уже давно. Есть видеокамеры для контроля.  Квартира юридически чистая! Можно оформить в ипотеку.  По цене можно договориться (хорошим людям хорошая скидка)",Астана,2021,13 из 13,103 м²,
22,679245055,"4-комнатная квартира, 156 м², 5/6 этаж, ул Кабанбайбатыра 13",131 000 000〒,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, счётчики, тихий двор.    отличная 4 комнатная квартира, с уникальным дизайном и атмосферой в доме премиум класса.    ИНФРАСТРУКТУРА:  - дом находится на левом берегу, в центре города  - в шаговой доступности находятся Астана Опера, школа-гимназия №17, ТРЦ Сарыарка, ТРЦ Керуенсити, Цирк.    дом:  - застройщик Базис А  - услуги консьержа  - презентабельные входные группы  - безопасный и закрытый двор  - подземный паркинг  - детский двор    КВАРТИРА:  - высокие потолки 3м  - 2 х этажный пенхаус  2 этаж  - 1 мастер спальня со своим гардеробной комнатой  - 2 спальни для детей.  - игровая, гостевая  - сан узел  1 этаж  - просторная гостиная  - кабинет  - кухня  - готовка  - теплые полы на кухне и в сан. узлах (практически не пользуются, так как тепло) - отличная шумоизоляция  - вся бытовая техника  - гардеробные комнаты полностью оборудованы системой хранения  - ремонт делался для себя, использовались добротные материалы  - некоторая мебель из Европы  - 3 спальной комнаты, 2 сан. узла, 2 гардеробной комнаты, 1 готовка, , 1 кабинеь гостиная, кухня, балкон и лоджия  - 2 парко место в цене    ДОП. ИнФ:  - никогда не сдавалась, проживали собственники  - в связи с расширением  - прошу реалторов не беспокоить, спасибо за понимание",Астана,2015,5 из 6,156 м²,хорошее
23,690628407,"1-комнатная квартира, 40 м², 4/15 этаж, Толе би 14 — Улы дала",24 000 000〒,"ЖК Дастур. Район отличный левый берег. Вокруг все спортивные комплексы Астаны, Назарбаевский университет, НИШ, школа Алпамыс, Мега Силк Уей, Смолл. Квартира просторная, ремонт с ненавязчивым, спокойным ремонтам. шкафы из мдф пленки.",Астана,2023,4 из 15,40 м²,хорошее
24,679245055,"4-комнатная квартира, 156 м², 5/6 этаж, ул Кабанбайбатыра 13",131 000 000〒,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, счётчики, тихий двор.    отличная 4 комнатная квартира, с уникальным дизайном и атмосферой в доме премиум класса.    ИНФРАСТРУКТУРА:  - дом находится на левом берегу, в центре города  - в шаговой доступности находятся Астана Опера, школа-гимназия №17, ТРЦ Сарыарка, ТРЦ Керуенсити, Цирк.    дом:  - застройщик Базис А  - услуги консьержа  - презентабельные входные группы  - безопасный и закрытый двор  - подземный паркинг  - детский двор    КВАРТИРА:  - высокие потолки 3м  - 2 х этажный пенхаус  2 этаж  - 1 мастер спальня со своим гардеробной комнатой  - 2 спальни для детей.  - игровая, гостевая  - сан узел  1 этаж  - просторная гостиная  - кабинет  - кухня  - готовка  - теплые полы на кухне и в сан. узлах (практически не пользуются, так как тепло) - отличная шумоизоляция  - вся бытовая техника  - гардеробные комнаты полностью оборудованы системой хранения  - ремонт делался для себя, использовались добротные материалы  - некоторая мебель из Европы  - 3 спальной комнаты, 2 сан. узла, 2 гардеробной комнаты, 1 готовка, , 1 кабинеь гостиная, кухня, балкон и лоджия  - 2 парко место в цене    ДОП. ИнФ:  - никогда не сдавалась, проживали собственники  - в связи с расширением  - прошу реалторов не беспокоить, спасибо за понимание",Астана,2015,5 из 6,156 м²,хорошее
25,690628407,"1-комнатная квартира, 40 м², 4/15 этаж, Толе би 14 — Улы дала",24 000 000〒,"ЖК Дастур. Район отличный левый берег. Вокруг все спортивные комплексы Астаны, Назарбаевский университет, НИШ, школа Алпамыс, Мега Силк Уей, Смолл. Квартира просторная, ремонт с ненавязчивым, спокойным ремонтам. шкафы из мдф пленки.",Астана,2023,4 из 15,40 м²,хорошее
26,690363908,"1-комнатная квартира, 36.95 м², 4/9 этаж, Нажимеденова 26 - недалеко от Хазрет Султан мечети — Азербаева",15 300 000〒,"Продам 1-комнатную квартиру в новом доме, ЖК Megapolis, это огромный жилой квартал со своей собственной инфраструктурой. Отличная локация, пересечения улиц Азербаева и Нажимеденова. В пешей доступности от театра Куанышбекова, мечеть Хазрет султан, Пирамида.  Рядом три школы и четыре детских сада, хорошая транспортная развязка в любую часть города. Недалеко действующая поликлиника, бассейн в этом же здании. Цена ниже рыночной, срок сдачи 1-ый квартал 2024 года, ДДУ.    - класс «Комфорт+»  - паркинг  - закрытый двор  - детские и спортивные площадки  - ландшафтный дизайн  - дизайнерские холлы    Уютный дом у Аллеи тысячелетия с шикарным районом, в планах 6 блоков. Квартира на 4-ом этаже.",Астана,2024,4 из 9,36.95 м²,черновая отделка
27,685968290,"1-комнатная квартира, 54.6 м², Туран 52/6",,"Старая цена -28 363 007 тенгеЦены указаны со скидкой. Срок действия акции: с 01.01.2024 по 31.01.2024 включительно!BUQAR JYRAU EXCLUSIVE – это идеальное место для тех, кто хочет жить в комфорте и современном стиле. Он расположен вблизи Ботанического сада, где можно насладиться красотой природы и провести время на свежем воздухе.ПреимуществаКрасотаBUQAR JYRAU EXCLUSIVEне ограничивается только внешним видом. Внутри вы найдете все удобства, необходимые для комфортного проживания.💥Идеальное расположение💥Собственный променад💥Закрытый двор💥Безопасный доступ по Face ID💥Электронные замки💥Улучшенная шумоизоляция💥Бесконтактный доступ в паркинг💥Зарядные станции для электромобилей💥Скоростные бесшумные лифты💥Колясочная зона и зона ожидания с видом на детские площадкиБлагоустройствоСобственный двор паркПрогулочные аллеиДетские игровые комплексыStreet workoutУниверсальное игровое полеДвор комплекса будет закрытым и безопасным для проживанияДизайнерский холл - холл подъезда будет выполнен в дизайнерском стиле, с сочетанием спокойных оттенков и современных материалов.ИнфраструктураЖилой квартал BUQAR JYRAU-наш первый проект с собственным променадом на заднем дворе. Гулять вместе с семьей и отдыхать на свежем воздухе можно прямо рядом с домом. На первых этажах домов откроются магазины и кафе. Поблизости есть школы, детские сады, спортивные обьекты и торговые центры. Выглядывая с окон на Ботанический сад, вся городская суета кажется далекой и незначительной.Удобное расположение престижных школ и игровых центров:IngeniumШкола-лицей №85Школа-лицей №84Детские садыСпортивные арены в шаговой доступностиЗанятие хоккеемКатания на конькахФутболЛегкая атлетикаХодить в бассейн",Астана,2024,,54.6 м²,
28,690256474,"3-комнатная квартира, 78.5 м², 5/15 этаж, Сыганак 17",60 000 000〒,"Продаётся 3-комнатная квартира в жилом комплексе ""Зеленый квартал"" !    Удобная планировка, просторные комнаты, свежий воздух и зелёная территория.    В доме есть фитнес зал Invictus, детское игровое пространство, большой молл, и все это доступно для жителей комплекса. Звоните по указанному номеру для просмотра и получения дополнительной информации.",Астана,2017,5 из 15,78.5 м²,хорошее
29,683999313,"1-комнатная квартира, 55.86 м², трасса Астана-Караганда 4/3",,"Ночь скидок 11 ноября с 18.00 до утраЖилой комплекс Yrys – это место, где комфорт и удобство сливаются воедино. Именно это место, где вы найдете изобилие.Преимущества:💥Детские площадки💥Зоны для отдыха💥Собственный паркинг💥Высокие потолкиМестоположениеЖилой комплекс находится в удобном месте, недалеко от гипермаркета Metro.АрхитектураДом комфорт класса, состоит из 4 блоков, по 9 этажей.В жилом комплексе Yrys вы сможете насладиться всеми удобствами города. Дом, построенный из красного кирпича и использованный при строительстве, придает дому уникальный и красивый вид. Высокие потолки в квартирах дополнят общую атмосферу простора и светлости. Вы будете радоватся уюту и просторной квартире с комфортным климатом зимой +22 градуса.БлагоустройствоВ данном жилом комплексе мы уделяем внимание качеству жизни для всех членов семьи, в том числе и для детей. Для них мы предусмотрели детские площадки, где они смогут безопасно и весело проводить свое время. А для вашего удобства мы предусмотрели парковки, чтобы вы не затрачивали время на поиск места для вашего автомобиля.Не пропустите шанс опыта жизни в комфорте - приобретите свою квартиру в жилом комплексе Yrys уже сегодня!",Астана,2024,,55.86 м²,
30,689995794,"2-комнатная квартира, 75 м², 3/9 этаж, Туркестан 10",46 000 000〒,"Пластиковые окна, неугловая, комнаты изолированы, встроенная кухня, счётчики, тихий двор.Продам квартиру в ЖК Коркем 2. Распашонка, окна смотрят во двор и на дет. сад. Большой двор. Теплая, сухая не угловая. На площадке 4 квартиры все хозяева собственники. Мы первые хозяева живем с момента постройки дома. Рядом много школ и дет. садов. Через дорогу ботанический сад. Торг",Астана,2016,3 из 9,75 м²,хорошее
